,Country,Type,Height,Year,millionm2,glt100,clt100,Region,lev,Rate,lev1,glt,clt,Total
29,Argentina,Non-Residential,6 & lower,2020,0.094993639,0.004982416,0.019758677,Latin America,Medium (likely),0.001986952,Optimistic Estimate,0.009899821,0.039259537,0.049159358
30,Argentina,Non-Residential,6 & lower,2020,0.094993639,0.004982416,0.019758677,Latin America,High,0.016211175,Extreme Estimate,0.080770822,0.320311364,0.401082187
31,Brazil,Non-Residential,6 & lower,2020,1.749346505,0.091753224,0.363864073,Latin America,Low,0.000229295,Conservative Estimate,0.021038525,0.083432091,0.104470615
32,Brazil,Non-Residential,6 & lower,2020,1.749346505,0.091753224,0.363864073,Latin America,Medium (likely),0.001986952,Optimistic Estimate,0.182309227,0.722980346,0.905289573
33,Brazil,Non-Residential,6 & lower,2020,1.749346505,0.091753224,0.363864073,Latin America,High,0.016211175,Extreme Estimate,1.487427552,5.898664076,7.386091627
34,Chile,Non-Residential,6 & lower,2020,0.763136556,0.040026512,0.158732404,Latin America,Low,0.000229295,Conservative Estimate,0.009177866,0.036396493,0.045574359
35,Chile,Non-Residential,6 & lower,2020,0.763136556,0.040026512,0.158732404,Latin America,Medium (likely),0.001986952,Optimistic Estimate,0.079530748,0.315393623,0.39492437
36,Chile,Non-Residential,6 & lower,2020,0.763136556,0.040026512,0.158732404,Latin America,High,0.016211175,Extreme Estimate,0.648876787,2.573238735,3.222115522
37,U.S.,Residential,6 & lower,2020,34.9376231,1.832478332,7.267025605,United States,Low,0.000590986,Conservative Estimate,1.082969067,4.294710502,5.377679569
38,U.S.,Residential,6 & lower,2020,34.9376231,1.832478332,7.267025605,United States,Medium (likely),0.004016897,Optimistic Estimate,7.360876148,29.19089111,36.55176726
39,U.S.,Residential,6 & lower,2020,34.9376231,1.832478332,7.267025605,United States,High,0.020885852,Extreme Estimate,38.27287127,151.7780214,190.0508927
40,China,Residential,6 & lower,2020,676.3087388,35.47239335,140.6722177,China,Low,1.35E-05,Conservative Estimate,0.479641326,1.902104783,2.381746109
41,China,Residential,6 & lower,2020,676.3087388,35.47239335,140.6722177,China,Medium (likely),0.000100819,Optimistic Estimate,3.57627586,14.18237138,17.75864724
42,China,Residential,6 & lower,2020,676.3087388,35.47239335,140.6722177,China,High,0.000733661,Extreme Estimate,26.02470361,103.2056883,129.2303919
43,Austria,Residential,6 & lower,2020,1.568392136,0.082262168,0.326225564,West Europe,Low,0.006092707,Conservative Estimate,0.501199274,1.987596741,2.488796015
44,Austria,Residential,6 & lower,2020,1.568392136,0.082262168,0.326225564,West Europe,Medium (likely),0.024577336,Optimistic Estimate,2.021784972,8.017755467,10.03954044
45,Austria,Residential,6 & lower,2020,1.568392136,0.082262168,0.326225564,West Europe,High,0.059662476,Extreme Estimate,4.907964615,19.46342498,24.37138959
46,France,Residential,6 & lower,2020,10.30043398,0.540257762,2.142490268,West Europe,Low,0.006092707,Conservative Estimate,3.291632187,13.0535652,16.34519739
47,France,Residential,6 & lower,2020,10.30043398,0.540257762,2.142490268,West Europe,Medium (likely),0.024577336,Optimistic Estimate,13.27809682,52.65670425,65.93480107
48,France,Residential,6 & lower,2020,10.30043398,0.540257762,2.142490268,West Europe,High,0.059662476,Extreme Estimate,32.2331159,127.8262747,160.0593906
49,Germany,Residential,6 & lower,2020,4.287278776,0.224867772,0.891753985,West Europe,Low,0.006092707,Conservative Estimate,1.370053421,5.433195645,6.803249066
50,Germany,Residential,6 & lower,2020,4.287278776,0.224867772,0.891753985,West Europe,Medium (likely),0.024577336,Optimistic Estimate,5.526650895,21.91693777,27.44358867
51,Germany,Residential,6 & lower,2020,4.287278776,0.224867772,0.891753985,West Europe,High,0.059662476,Extreme Estimate,13.41616809,53.20425096,66.62041905
52,Italy,Residential,6 & lower,2020,2.932214681,0.15379466,0.609900654,West Europe,Low,0.006092707,Conservative Estimate,0.937025784,3.715945911,4.652971694
53,Italy,Residential,6 & lower,2020,2.932214681,0.15379466,0.609900654,West Europe,Medium (likely),0.024577336,Optimistic Estimate,3.77986311,14.98973359,18.7695967
54,Italy,Residential,6 & lower,2020,2.932214681,0.15379466,0.609900654,West Europe,High,0.059662476,Extreme Estimate,9.175770248,36.38818325,45.5639535
55,Netherlands,Residential,6 & lower,2020,0.64490982,0.03382552,0.134141243,West Europe,Low,0.006092707,Conservative Estimate,0.206088979,0.817283272,1.023372251
56,Netherlands,Residential,6 & lower,2020,0.64490982,0.03382552,0.134141243,West Europe,Medium (likely),0.024577336,Optimistic Estimate,0.831341189,3.296834456,4.128175645
57,Netherlands,Residential,6 & lower,2020,0.64490982,0.03382552,0.134141243,West Europe,High,0.059662476,Extreme Estimate,2.018114287,8.003198696,10.02131298
58,Spain,Residential,6 & lower,2020,9.555546538,0.501188416,1.98755368,West Europe,Low,0.006092707,Conservative Estimate,3.053594111,12.10958199,15.1631761
59,Spain,Residential,6 & lower,2020,9.555546538,0.501188416,1.98755368,West Europe,Medium (likely),0.024577336,Optimistic Estimate,12.31787635,48.84877559,61.16665194
60,Spain,Residential,6 & lower,2020,9.555546538,0.501188416,1.98755368,West Europe,High,0.059662476,Extreme Estimate,29.90214195,118.5823742,148.4845161
61,UK,Residential,6 & lower,2020,11.6111931,0.609007078,2.415128165,West Europe,Low,0.006092707,Conservative Estimate,3.710501617,14.71466799,18.42516961
62,UK,Residential,6 & lower,2020,11.6111931,0.609007078,2.415128165,West Europe,Medium (likely),0.024577336,Optimistic Estimate,14.96777189,59.35741759,74.32518947
63,UK,Residential,6 & lower,2020,11.6111931,0.609007078,2.415128165,West Europe,High,0.059662476,Extreme Estimate,36.33487032,144.0925267,180.4273971
64,Argentina,Residential,6 & lower,2020,2.673218421,0.140210306,0.556029432,Latin America,Low,0.000179385,Conservative Estimate,0.025151566,0.099743101,0.124894667
65,Argentina,Residential,6 & lower,2020,2.673218421,0.140210306,0.556029432,Latin America,Medium (likely),0.001559627,Optimistic Estimate,0.218675779,0.867198513,1.085874292
66,Argentina,Residential,6 & lower,2020,2.673218421,0.140210306,0.556029432,Latin America,High,0.012766071,Extreme Estimate,1.789934793,7.098311475,8.888246267
67,Brazil,Residential,6 & lower,2020,12.48112725,0.654635124,2.596074468,Latin America,Low,0.000179385,Conservative Estimate,0.117431441,0.465695705,0.583127146
68,Brazil,Residential,6 & lower,2020,12.48112725,0.654635124,2.596074468,Latin America,Medium (likely),0.001559627,Optimistic Estimate,1.020986613,4.048907828,5.069894441
69,Brazil,Residential,6 & lower,2020,12.48112725,0.654635124,2.596074468,Latin America,High,0.012766071,Extreme Estimate,8.357118797,33.14167226,41.49879105
70,Chile,Residential,6 & lower,2020,9.113610377,0.478008864,1.895630958,Latin America,Low,0.000179385,Conservative Estimate,0.085747415,0.340046947,0.425794362
71,Chile,Residential,6 & lower,2020,9.113610377,0.478008864,1.895630958,Latin America,Medium (likely),0.001559627,Optimistic Estimate,0.74551553,2.95647722,3.70199275
72,Chile,Residential,6 & lower,2020,9.113610377,0.478008864,1.895630958,Latin America,High,0.012766071,Extreme Estimate,6.102295335,24.19976034,30.30205567
73,U.S.,Non-Residential,13 & higher,2020,2.53515031,0.16579883,0.430975553,United States,Low,0.003231322,Conservative Estimate,0.53574935,1.392620635,1.928369985
74,U.S.,Non-Residential,13 & higher,2020,2.53515031,0.16579883,0.430975553,United States,Medium (likely),0.021764078,Optimistic Estimate,3.608458631,9.379785433,12.98824406
75,U.S.,Non-Residential,13 & higher,2020,2.53515031,0.16579883,0.430975553,United States,High,0.109784161,Extreme Estimate,18.20208541,47.31428929,65.5163747
76,China,Non-Residential,13 & higher,2020,26.65327754,1.743124351,4.531057182,China,Low,0.000113486,Conservative Estimate,0.197820789,0.51421306,0.712033849
77,China,Non-Residential,13 & higher,2020,26.65327754,1.743124351,4.531057182,China,Medium (likely),0.001077567,Optimistic Estimate,1.878332698,4.882516187,6.760848885
78,China,Non-Residential,13 & higher,2020,26.65327754,1.743124351,4.531057182,China,High,0.00983578,Extreme Estimate,17.14498677,44.56647937,61.71146614
79,Austria,Non-Residential,13 & higher,2020,0.055100363,0.003603564,0.009367062,West Europe,Low,0.035967615,Conservative Estimate,0.129611592,0.336910865,0.466522457
80,Austria,Non-Residential,13 & higher,2020,0.055100363,0.003603564,0.009367062,West Europe,Medium (likely),0.138099152,Optimistic Estimate,0.497649097,1.293583281,1.791232378
81,Austria,Non-Residential,13 & higher,2020,0.055100363,0.003603564,0.009367062,West Europe,High,0.305113573,Extreme Estimate,1.099496207,2.858017664,3.957513871
82,France,Non-Residential,13 & higher,2020,0.07503418,0.004907235,0.012755811,West Europe,Low,0.035967615,Conservative Estimate,0.176501551,0.458796079,0.63529763
83,France,Non-Residential,13 & higher,2020,0.07503418,0.004907235,0.012755811,West Europe,Medium (likely),0.138099152,Optimistic Estimate,0.677685044,1.761566629,2.439251674
84,France,Non-Residential,13 & higher,2020,0.07503418,0.004907235,0.012755811,West Europe,High,0.305113573,Extreme Estimate,1.497264116,3.891970945,5.389235061
85,Germany,Non-Residential,13 & higher,2020,0.144740387,0.009466021,0.024605866,West Europe,Low,0.035967615,Conservative Estimate,0.340470206,0.885014297,1.225484503
86,Germany,Non-Residential,13 & higher,2020,0.144740387,0.009466021,0.024605866,West Europe,Medium (likely),0.138099152,Optimistic Estimate,1.307249517,3.398049204,4.705298721
87,Germany,Non-Residential,13 & higher,2020,0.144740387,0.009466021,0.024605866,West Europe,High,0.305113573,Extreme Estimate,2.888211581,7.50758362,10.3957952
88,Italy,Non-Residential,13 & higher,2020,0.079287904,0.005185429,0.013478944,West Europe,Low,0.035967615,Conservative Estimate,0.186507509,0.484805451,0.67131296
89,Italy,Non-Residential,13 & higher,2020,0.079287904,0.005185429,0.013478944,West Europe,Medium (likely),0.138099152,Optimistic Estimate,0.716103338,1.861430694,2.577534032
90,Italy,Non-Residential,13 & higher,2020,0.079287904,0.005185429,0.013478944,West Europe,High,0.305113573,Extreme Estimate,1.582144744,4.112608662,5.694753406
91,Netherlands,Non-Residential,13 & higher,2020,0.029281473,0.001915008,0.00497785,West Europe,Low,0.035967615,Conservative Estimate,0.068878282,0.179041405,0.247919687
92,Netherlands,Non-Residential,13 & higher,2020,0.029281473,0.001915008,0.00497785,West Europe,Medium (likely),0.138099152,Optimistic Estimate,0.264461027,0.687436921,0.951897949
93,Netherlands,Non-Residential,13 & higher,2020,0.029281473,0.001915008,0.00497785,West Europe,High,0.305113573,Extreme Estimate,0.584295035,1.518809723,2.103104757
94,Spain,Non-Residential,13 & higher,2020,0.030520474,0.001996039,0.005188481,West Europe,Low,0.035967615,Conservative Estimate,0.071792761,0.18661727,0.258410031
95,Spain,Non-Residential,13 & higher,2020,0.030520474,0.001996039,0.005188481,West Europe,Medium (likely),0.138099152,Optimistic Estimate,0.275651294,0.716524769,0.992176063
96,Spain,Non-Residential,13 & higher,2020,0.030520474,0.001996039,0.005188481,West Europe,High,0.305113573,Extreme Estimate,0.60901859,1.583075847,2.192094437
97,UK,Non-Residential,13 & higher,2020,0.094473162,0.006178545,0.016060438,West Europe,Low,0.035967615,Conservative Estimate,0.222227518,0.577655628,0.799883145
98,UK,Non-Residential,13 & higher,2020,0.094473162,0.006178545,0.016060438,West Europe,Medium (likely),0.138099152,Optimistic Estimate,0.853251798,2.217932808,3.071184606
99,UK,Non-Residential,13 & higher,2020,0.094473162,0.006178545,0.016060438,West Europe,High,0.305113573,Extreme Estimate,1.885157876,4.900257477,6.785415353
100,Argentina,Non-Residential,13 & higher,2020,0.00568338,0.000371693,0.000966175,Latin America,Low,0.000358721,Conservative Estimate,0.000133334,0.000346587,0.000479921
101,Argentina,Non-Residential,13 & higher,2020,0.00568338,0.000371693,0.000966175,Latin America,Medium (likely),0.003115626,Optimistic Estimate,0.001158056,0.003010238,0.004168295
102,Argentina,Non-Residential,13 & higher,2020,0.00568338,0.000371693,0.000966175,Latin America,High,0.02529071,Extreme Estimate,0.009400381,0.024435241,0.033835622
103,Brazil,Non-Residential,13 & higher,2020,0.353914033,0.023145978,0.060165386,Latin America,Low,0.000358721,Conservative Estimate,0.008302941,0.021582569,0.02988551
104,Brazil,Non-Residential,13 & higher,2020,0.353914033,0.023145978,0.060165386,Latin America,Medium (likely),0.003115626,Optimistic Estimate,0.072114202,0.187452819,0.259567021
105,Brazil,Non-Residential,13 & higher,2020,0.353914033,0.023145978,0.060165386,Latin America,High,0.02529071,Extreme Estimate,0.5853782,1.52162529,2.107003489
106,Chile,Non-Residential,13 & higher,2020,0.890325982,0.058227319,0.151355417,Latin America,Low,0.000358721,Conservative Estimate,0.020887344,0.054294319,0.075181664
107,Chile,Non-Residential,13 & higher,2020,0.890325982,0.058227319,0.151355417,Latin America,Medium (likely),0.003115626,Optimistic Estimate,0.18141453,0.47156682,0.65298135
108,Chile,Non-Residential,13 & higher,2020,0.890325982,0.058227319,0.151355417,Latin America,High,0.02529071,Extreme Estimate,1.472610216,3.827885882,5.300496098
109,U.S.,Residential,13 & higher,2020,0.155827431,0.010191114,0.026490663,United States,Low,0.003231322,Conservative Estimate,0.032930767,0.085599854,0.118530621
110,U.S.,Residential,13 & higher,2020,0.155827431,0.010191114,0.026490663,United States,Medium (likely),0.021764078,Optimistic Estimate,0.221800197,0.576544855,0.798345052
111,U.S.,Residential,13 & higher,2020,0.155827431,0.010191114,0.026490663,United States,High,0.109784161,Extreme Estimate,1.118822895,2.908255231,4.027078125
112,China,Residential,13 & higher,2020,499.7213663,32.68177736,84.95263227,China,Low,2.70E-05,Conservative Estimate,0.883806736,2.297356958,3.181163693
113,China,Residential,13 & higher,2020,499.7213663,32.68177736,84.95263227,China,Medium (likely),0.000201622,Optimistic Estimate,6.589358766,17.1283026,23.71766137
114,China,Residential,13 & higher,2020,499.7213663,32.68177736,84.95263227,China,High,0.001466515,Extreme Estimate,47.92831585,124.5843073,172.5126231
115,Austria,Residential,13 & higher,2020,0.316899789,0.020725246,0.053872964,West Europe,Low,0.035967615,Conservative Estimate,0.745437668,1.93768201,2.683119678
116,Austria,Residential,13 & higher,2020,0.316899789,0.020725246,0.053872964,West Europe,Medium (likely),0.138099152,Optimistic Estimate,2.862138929,7.439810672,10.3019496
117,Austria,Residential,13 & higher,2020,0.316899789,0.020725246,0.053872964,West Europe,High,0.305113573,Extreme Estimate,6.323553913,16.43737256,22.76092647
118,France,Residential,13 & higher,2020,0.187812258,0.012282922,0.031928084,West Europe,Low,0.035967615,Conservative Estimate,0.441787393,1.148377015,1.590164407
119,France,Residential,13 & higher,2020,0.187812258,0.012282922,0.031928084,West Europe,Medium (likely),0.138099152,Optimistic Estimate,1.696261069,4.409241312,6.105502381
120,France,Residential,13 & higher,2020,0.187812258,0.012282922,0.031928084,West Europe,High,0.305113573,Extreme Estimate,3.747686115,9.741691736,13.48937785
121,Germany,Residential,13 & higher,2020,0.009207388,0.000602163,0.001565256,West Europe,Low,0.035967615,Conservative Estimate,0.021658373,0.056298523,0.077956896
122,Germany,Residential,13 & higher,2020,0.009207388,0.000602163,0.001565256,West Europe,Medium (likely),0.138099152,Optimistic Estimate,0.083158224,0.216160521,0.299318745
123,Germany,Residential,13 & higher,2020,0.009207388,0.000602163,0.001565256,West Europe,High,0.305113573,Extreme Estimate,0.183728158,0.477580838,0.661308996
124,Italy,Residential,13 & higher,2020,0.011369472,0.000743563,0.00193281,West Europe,Low,0.035967615,Conservative Estimate,0.026744204,0.069518574,0.096262778
125,Italy,Residential,13 & higher,2020,0.011369472,0.000743563,0.00193281,West Europe,Medium (likely),0.138099152,Optimistic Estimate,0.102685485,0.266919455,0.36960494
126,Italy,Residential,13 & higher,2020,0.011369472,0.000743563,0.00193281,West Europe,High,0.305113573,Extreme Estimate,0.226871306,0.589726638,0.816597944
127,Netherlands,Residential,13 & higher,2020,0.0058086,0.000379882,0.000987462,West Europe,Low,0.035967615,Conservative Estimate,0.013663465,0.035516653,0.049180118
128,Netherlands,Residential,13 & higher,2020,0.0058086,0.000379882,0.000987462,West Europe,Medium (likely),0.138099152,Optimistic Estimate,0.052461443,0.136367665,0.188829108
129,Netherlands,Residential,13 & higher,2020,0.0058086,0.000379882,0.000987462,West Europe,High,0.305113573,Extreme Estimate,0.115907288,0.301288059,0.417195347
130,Spain,Residential,13 & higher,2020,0.033422399,0.002185825,0.005681808,West Europe,Low,0.035967615,Conservative Estimate,0.078618907,0.204361074,0.282979982
131,Spain,Residential,13 & higher,2020,0.033422399,0.002185825,0.005681808,West Europe,Medium (likely),0.138099152,Optimistic Estimate,0.301860565,0.784652844,1.086513409
132,Spain,Residential,13 & higher,2020,0.033422399,0.002185825,0.005681808,West Europe,High,0.305113573,Extreme Estimate,0.666924843,1.733596686,2.400521529
133,UK,Residential,13 & higher,2020,0.081518929,0.005331338,0.013858218,West Europe,Low,0.035967615,Conservative Estimate,0.191755509,0.498447041,0.69020255
134,UK,Residential,13 & higher,2020,0.081518929,0.005331338,0.013858218,West Europe,Medium (likely),0.138099152,Optimistic Estimate,0.736253252,1.913808147,2.650061399
135,UK,Residential,13 & higher,2020,0.081518929,0.005331338,0.013858218,West Europe,High,0.305113573,Extreme Estimate,1.626663571,4.228330384,5.854993955
136,Argentina,Residential,13 & higher,2020,0.1631942,0.010672901,0.027743014,Latin America,Low,0.000358721,Conservative Estimate,0.00382859,0.009951993,0.013780583
137,Argentina,Residential,13 & higher,2020,0.1631942,0.010672901,0.027743014,Latin America,Medium (likely),0.003115626,Optimistic Estimate,0.033252763,0.086436846,0.119689609
138,Argentina,Residential,13 & higher,2020,0.1631942,0.010672901,0.027743014,Latin America,High,0.02529071,Extreme Estimate,0.269925231,0.701640508,0.971565739
139,Brazil,Residential,13 & higher,2020,2.084082509,0.136298996,0.354294027,Latin America,Low,0.000358721,Conservative Estimate,0.04889327,0.127092597,0.175985867
140,Brazil,Residential,13 & higher,2020,2.084082509,0.136298996,0.354294027,Latin America,Medium (likely),0.003115626,Optimistic Estimate,0.424656649,1.103847559,1.528504208
141,Brazil,Residential,13 & higher,2020,2.084082509,0.136298996,0.354294027,Latin America,High,0.02529071,Extreme Estimate,3.447098316,8.960347305,12.40744562
142,Chile,Residential,13 & higher,2020,1.337941333,0.087501363,0.227450027,Latin America,Low,0.000358721,Conservative Estimate,0.031388549,0.08159103,0.11297958
143,Chile,Residential,13 & higher,2020,1.337941333,0.087501363,0.227450027,Latin America,Medium (likely),0.003115626,Optimistic Estimate,0.272621492,0.708649138,0.981270631
144,Chile,Residential,13 & higher,2020,1.337941333,0.087501363,0.227450027,Latin America,High,0.02529071,Extreme Estimate,2.212971558,5.75237255,7.965344108
145,U.S.,Non-Residential,7 to 12,2020,2.771301298,0.171183281,0.734394844,United States,Low,0.004325262,Conservative Estimate,0.740412593,3.176450334,3.916862927
146,U.S.,Non-Residential,7 to 12,2020,2.771301298,0.171183281,0.734394844,United States,Medium (likely),0.029062568,Optimistic Estimate,4.975025696,21.34339986,26.31842556
147,U.S.,Non-Residential,7 to 12,2020,2.771301298,0.171183281,0.734394844,United States,High,0.142784773,Extreme Estimate,24.44236598,104.8604013,129.3027672
148,China,Non-Residential,7 to 12,2020,8.144057026,0.503058402,2.158175112,China,Low,0.000229295,Conservative Estimate,0.115348608,0.494858039,0.610206647
149,China,Non-Residential,7 to 12,2020,8.144057026,0.503058402,2.158175112,China,Medium (likely),0.001986952,Optimistic Estimate,0.999552758,4.288189752,5.287742511
150,China,Non-Residential,7 to 12,2020,8.144057026,0.503058402,2.158175112,China,High,0.016211175,Extreme Estimate,8.155167676,34.98655389,43.14172157
151,Austria,Non-Residential,7 to 12,2020,0.013841359,0.000854981,0.00366796,West Europe,Low,0.04764755,Conservative Estimate,0.040737738,0.174769316,0.215507054
152,Austria,Non-Residential,7 to 12,2020,0.013841359,0.000854981,0.00366796,West Europe,Medium (likely),0.179433513,Optimistic Estimate,0.153412199,0.658154974,0.811567173
153,Austria,Non-Residential,7 to 12,2020,0.013841359,0.000854981,0.00366796,West Europe,High,0.382587843,Extreme Estimate,0.327105239,1.403316956,1.730422196
154,France,Non-Residential,7 to 12,2020,0.630842925,0.038967167,0.167173375,West Europe,Low,0.04764755,Conservative Estimate,1.856690079,7.96540183,9.822091909
155,France,Non-Residential,7 to 12,2020,0.630842925,0.038967167,0.167173375,West Europe,Medium (likely),0.179433513,Optimistic Estimate,6.992015771,29.99650606,36.98852183
156,France,Non-Residential,7 to 12,2020,0.630842925,0.038967167,0.167173375,West Europe,High,0.382587843,Extreme Estimate,14.90836455,63.958501,78.86686556
157,Germany,Non-Residential,7 to 12,2020,0.609115797,0.037625083,0.161415686,West Europe,Low,0.04764755,Conservative Estimate,1.792743031,7.691062056,9.483805087
158,Germany,Non-Residential,7 to 12,2020,0.609115797,0.037625083,0.161415686,West Europe,Medium (likely),0.179433513,Optimistic Estimate,6.751200798,28.96338371,35.7145845
159,Germany,Non-Residential,7 to 12,2020,0.609115797,0.037625083,0.161415686,West Europe,High,0.382587843,Extreme Estimate,14.39489927,61.75567922,76.15057848
160,Italy,Non-Residential,7 to 12,2020,0.333669931,0.020610792,0.088422532,West Europe,Low,0.04764755,Conservative Estimate,0.982053735,4.213117043,5.195170778
161,Italy,Non-Residential,7 to 12,2020,0.333669931,0.020610792,0.088422532,West Europe,Medium (likely),0.179433513,Optimistic Estimate,3.698266759,15.86596554,19.5642323
162,Italy,Non-Residential,7 to 12,2020,0.333669931,0.020610792,0.088422532,West Europe,High,0.382587843,Extreme Estimate,7.885438316,33.82938568,41.714824
163,Netherlands,Non-Residential,7 to 12,2020,0.066929081,0.004134209,0.017736206,West Europe,Low,0.04764755,Conservative Estimate,0.196984948,0.845086793,1.042071741
164,Netherlands,Non-Residential,7 to 12,2020,0.066929081,0.004134209,0.017736206,West Europe,Medium (likely),0.179433513,Optimistic Estimate,0.741815706,3.182469842,3.924285548
165,Netherlands,Non-Residential,7 to 12,2020,0.066929081,0.004134209,0.017736206,West Europe,High,0.382587843,Extreme Estimate,1.581698232,6.785656975,8.367355207
166,Spain,Non-Residential,7 to 12,2020,0.11244385,0.006945657,0.02979762,West Europe,Low,0.04764755,Conservative Estimate,0.330943524,1.419783615,1.750727139
167,Spain,Non-Residential,7 to 12,2020,0.11244385,0.006945657,0.02979762,West Europe,Medium (likely),0.179433513,Optimistic Estimate,1.24628357,5.346691695,6.592975265
168,Spain,Non-Residential,7 to 12,2020,0.11244385,0.006945657,0.02979762,West Europe,High,0.382587843,Extreme Estimate,2.657323783,11.40020726,14.05753104
169,UK,Non-Residential,7 to 12,2020,0.217288273,0.013421897,0.057581392,West Europe,Low,0.04764755,Conservative Estimate,0.639520497,2.743612298,3.383132795
170,UK,Non-Residential,7 to 12,2020,0.217288273,0.013421897,0.057581392,West Europe,Medium (likely),0.179433513,Optimistic Estimate,2.408338069,10.33203154,12.74036961
171,UK,Non-Residential,7 to 12,2020,0.217288273,0.013421897,0.057581392,West Europe,High,0.382587843,Extreme Estimate,5.135054479,22.0299407,27.16499518
172,Argentina,Non-Residential,7 to 12,2020,0.010554849,0.000651973,0.002797035,Latin America,Low,0.000703536,Conservative Estimate,0.000458687,0.001967815,0.002426501
